context,question,text,answer_start,n_words,비고
"So, are you going to take a job in Taiwan.
I accepted it. But I'm worried that it was a mistake.
Why, it's a great career developing opportunity.
I'm not sure I want to be so far from friends and family.
You don't have to stay there forever.
I know, but it could also be hard to adapt to life there.
",Where is the man going to take a job?,Taiwan,,,
"So, are you going to take a job in Taiwan.
I accepted it. But I'm worried that it was a mistake.
Why, it's a great career developing opportunity.
I'm not sure I want to be so far from friends and family.
You don't have to stay there forever.
I know, but it could also be hard to adapt to life there.
",Why is the man worried about taking a job in Taiwan?,I'm not sure I want to be so far from friends and family.,,,
"So, are you going to take a job in Taiwan.
I accepted it. But I'm worried that it was a mistake.
Why, it's a great career developing opportunity.
I'm not sure I want to be so far from friends and family.
You don't have to stay there forever.
I know, but it could also be hard to adapt to life there.
",What topic is the talk about?,a job in Taiwan,,,
"So, are you going to take a job in Taiwan.
I accepted it. But I'm worried that it was a mistake.
Why, it's a great career developing opportunity.
I'm not sure I want to be so far from friends and family.
You don't have to stay there forever.
I know, but it could also be hard to adapt to life there.
",What is the difficulty of living in Taiwan?,it could also be hard to adapt to life there.,,,
"So, are you going to take a job in Taiwan.
I accepted it. But I'm worried that it was a mistake.
Why, it's a great career developing opportunity.
I'm not sure I want to be so far from friends and family.
You don't have to stay there forever.
I know, but it could also be hard to adapt to life there.
",When is the man going to take a job?,,,,답 없음
"I have no idea how you stay in such good shape fit.
Simple. I basically just watch what I eat.
I try to eat well too, but I can't resist sweet.
I've gotten to the point where I can ignore cravings.
You must exercise regularly too, right?
Not that much, but I do jog a bit.
",How does the woman stay is such good shape fit?,basically just watch what I eat.,,,
"I have no idea how you stay in such good shape fit.
Simple. I basically just watch what I eat.
I try to eat well too, but I can't resist sweet.
I've gotten to the point where I can ignore cravings.
You must exercise regularly too, right?
Not that much, but I do jog a bit.
",What cannot the man resist?,sweet,,,
"I have no idea how you stay in such good shape fit.
Simple. I basically just watch what I eat.
I try to eat well too, but I can't resist sweet.
I've gotten to the point where I can ignore cravings.
You must exercise regularly too, right?
Not that much, but I do jog a bit.
",Does the woman exercise regularly?,Not that much,,,
"I have no idea how you stay in such good shape fit.
Simple. I basically just watch what I eat.
I try to eat well too, but I can't resist sweet.
I've gotten to the point where I can ignore cravings.
You must exercise regularly too, right?
Not that much, but I do jog a bit.
",Which exercise does the woman do?,jog,,,
"I have no idea how you stay in such good shape fit.
Simple. I basically just watch what I eat.
I try to eat well too, but I can't resist sweet.
I've gotten to the point where I can ignore cravings.
You must exercise regularly too, right?
Not that much, but I do jog a bit.
",Will speakers do exercise together?,,,,답 없음
"Are you going anywhere tonight?
I'm taking my parents to a movie and then dinner afterwards.
What are you going to see?
Beautiful lives. It's not my kind of thing, but my mother picked it.
The reviews have been mixed. But I wouldn't mind seeing it.
Well, you are welcome to join us.
Thanks, but I'll let you enjoy your family time together.
",Where will the man go tonight?,to a movie and then dinner afterwards,,,
"Are you going anywhere tonight?
I'm taking my parents to a movie and then dinner afterwards.
What are you going to see?
Beautiful lives. It's not my kind of thing, but my mother picked it.
The reviews have been mixed. But I wouldn't mind seeing it.
Well, you are welcome to join us.
Thanks, but I'll let you enjoy your family time together.
",Which movie is the man going to see?,Beautiful lives.,,,
"Are you going anywhere tonight?
I'm taking my parents to a movie and then dinner afterwards.
What are you going to see?
Beautiful lives. It's not my kind of thing, but my mother picked it.
The reviews have been mixed. But I wouldn't mind seeing it.
Well, you are welcome to join us.
Thanks, but I'll let you enjoy your family time together.
",Who picked the movie?,my mother,,,
"Are you going anywhere tonight?
I'm taking my parents to a movie and then dinner afterwards.
What are you going to see?
Beautiful lives. It's not my kind of thing, but my mother picked it.
The reviews have been mixed. But I wouldn't mind seeing it.
Well, you are welcome to join us.
Thanks, but I'll let you enjoy your family time together.
",How is the review of the movie?,The reviews have been mixed.,,,
"Are you going anywhere tonight?
I'm taking my parents to a movie and then dinner afterwards.
What are you going to see?
Beautiful lives. It's not my kind of thing, but my mother picked it.
The reviews have been mixed. But I wouldn't mind seeing it.
Well, you are welcome to join us.
Thanks, but I'll let you enjoy your family time together.
",What did the man suggest to the woman?,you are welcome to join us,,,
"Are you almost finished doing the calculations for our report?
I could use some more time if that's okay.
Why? I thought you were quiet on schedule.
I was. But I found some errors and had a start from scratch.
Okay, can you get it done by tomorrow afternoon, then?
Sure, if I allowed to focus solely on this task.
",What is the main topic of the talk?,calculations for our report,,,
"Are you almost finished doing the calculations for our report?
I could use some more time if that's okay.
Why? I thought you were quiet on schedule.
I was. But I found some errors and had a start from scratch.
Okay, can you get it done by tomorrow afternoon, then?
Sure, if I allowed to focus solely on this task.
",What is agreed upon?,get it done by tomorrow afternoon,,,
"Are you almost finished doing the calculations for our report?
I could use some more time if that's okay.
Why? I thought you were quiet on schedule.
I was. But I found some errors and had a start from scratch.
Okay, can you get it done by tomorrow afternoon, then?
Sure, if I allowed to focus solely on this task.
",What does the man want to get the work done by tomorrow afternoon?,focus solely on this task,,,
"Are you almost finished doing the calculations for our report?
I could use some more time if that's okay.
Why? I thought you were quiet on schedule.
I was. But I found some errors and had a start from scratch.
Okay, can you get it done by tomorrow afternoon, then?
Sure, if I allowed to focus solely on this task.
",What errors did the man find?,,,,답 없음
"Are you almost finished doing the calculations for our report?
I could use some more time if that's okay.
Why? I thought you were quiet on schedule.
I was. But I found some errors and had a start from scratch.
Okay, can you get it done by tomorrow afternoon, then?
Sure, if I allowed to focus solely on this task.
",Why couldn't the man finish the work?,found some errors and had a start from scratch,,,
"I noticed that human resources place an ad for temporary position in sales.
Yeah, we are looking to replace Kerry while she's on maternity leave.
I didn't realize it was so soon. When does she leave?
It's several months away actually. But we want to her to train whoever we hire.
Maybe Merry from marketing could be her replacement.
That's a good ides. I hadn't thought of looking within the company.
",What are the speakers talking about?,temporary position in sales,,,
"I noticed that human resources place an ad for temporary position in sales.
Yeah, we are looking to replace Kerry while she's on maternity leave.
I didn't realize it was so soon. When does she leave?
It's several months away actually. But we want to her to train whoever we hire.
Maybe Merry from marketing could be her replacement.
That's a good ides. I hadn't thought of looking within the company.
",Who placed an ad for temporary position in sales?,human resources,,,
"I noticed that human resources place an ad for temporary position in sales.
Yeah, we are looking to replace Kerry while she's on maternity leave.
I didn't realize it was so soon. When does she leave?
It's several months away actually. But we want to her to train whoever we hire.
Maybe Merry from marketing could be her replacement.
That's a good ides. I hadn't thought of looking within the company.
",Who is being replaced?,Kerry,,,
"I noticed that human resources place an ad for temporary position in sales.
Yeah, we are looking to replace Kerry while she's on maternity leave.
I didn't realize it was so soon. When does she leave?
It's several months away actually. But we want to her to train whoever we hire.
Maybe Merry from marketing could be her replacement.
That's a good ides. I hadn't thought of looking within the company.
",Why does Kerry leave?,maternity leave,,,
"I noticed that human resources place an ad for temporary position in sales.
Yeah, we are looking to replace Kerry while she's on maternity leave.
I didn't realize it was so soon. When does she leave?
It's several months away actually. But we want to her to train whoever we hire.
Maybe Merry from marketing could be her replacement.
That's a good ides. I hadn't thought of looking within the company.
",When will Kerry leave?,It's several months away,,,
"I noticed that human resources place an ad for temporary position in sales.
Yeah, we are looking to replace Kerry while she's on maternity leave.
I didn't realize it was so soon. When does she leave?
It's several months away actually. But we want to her to train whoever we hire.
Maybe Merry from marketing could be her replacement.
That's a good ides. I hadn't thought of looking within the company.
",Why do they find the replacement so early?,we want to her to train whoever we hire.,,,
"I noticed that human resources place an ad for temporary position in sales.
Yeah, we are looking to replace Kerry while she's on maternity leave.
I didn't realize it was so soon. When does she leave?
It's several months away actually. But we want to her to train whoever we hire.
Maybe Merry from marketing could be her replacement.
That's a good ides. I hadn't thought of looking within the company.
",Who could be good replacement?,Merry ffrom marketing,,,
"How's your dissertation coming along?
The overall structure has finally taking shape in my mind.
Have you started drafting the actual paper?
Not yet. I just finished arranging my notes.
Well, hopefully all these preliminary work pays off!
Yeah, but there are still some sources that I want to check out.
",Has the man started drafting the actual paper?,Not yet.,,,
"How's your dissertation coming along?
The overall structure has finally taking shape in my mind.
Have you started drafting the actual paper?
Not yet. I just finished arranging my notes.
Well, hopefully all these preliminary work pays off!
Yeah, but there are still some sources that I want to check out.
",What is the main topic of the talk?,dissertation,,,
"How's your dissertation coming along?
The overall structure has finally taking shape in my mind.
Have you started drafting the actual paper?
Not yet. I just finished arranging my notes.
Well, hopefully all these preliminary work pays off!
Yeah, but there are still some sources that I want to check out.
",What did the man finish?,arranging my notes,,,
"How's your dissertation coming along?
The overall structure has finally taking shape in my mind.
Have you started drafting the actual paper?
Not yet. I just finished arranging my notes.
Well, hopefully all these preliminary work pays off!
Yeah, but there are still some sources that I want to check out.
",What does the woman wish for man?,hopefully all these preliminary work pays off!,,,
"How's your dissertation coming along?
The overall structure has finally taking shape in my mind.
Have you started drafting the actual paper?
Not yet. I just finished arranging my notes.
Well, hopefully all these preliminary work pays off!
Yeah, but there are still some sources that I want to check out.
",What does the man have to do in the future?,there are still some sources that I want to check out.,,,
"Are you looking for something in particular, ma'am?
Well, I like this red shirt, but 80 dollars is two steep.
Roughly, how much will you looking to spend?
Somewhere around 50 dollars.
Then, how about this blue one for 55 dollars?
I really like the style, but I prefer the color of the other one.
",What are the speakers talking about?,shirt,,,
"Are you looking for something in particular, ma'am?
Well, I like this red shirt, but 80 dollars is two steep.
Roughly, how much will you looking to spend?
Somewhere around 50 dollars.
Then, how about this blue one for 55 dollars?
I really like the style, but I prefer the color of the other one.
",Which color of shirt does the woman like?,red shirt,,,
"Are you looking for something in particular, ma'am?
Well, I like this red shirt, but 80 dollars is two steep.
Roughly, how much will you looking to spend?
Somewhere around 50 dollars.
Then, how about this blue one for 55 dollars?
I really like the style, but I prefer the color of the other one.
",What is the problem about the red shirt?,80 dollars is two steep,,,
"Are you looking for something in particular, ma'am?
Well, I like this red shirt, but 80 dollars is two steep.
Roughly, how much will you looking to spend?
Somewhere around 50 dollars.
Then, how about this blue one for 55 dollars?
I really like the style, but I prefer the color of the other one.
",Which shirt did the man recommend to the woman?,blue one,,,
"Are you looking for something in particular, ma'am?
Well, I like this red shirt, but 80 dollars is two steep.
Roughly, how much will you looking to spend?
Somewhere around 50 dollars.
Then, how about this blue one for 55 dollars?
I really like the style, but I prefer the color of the other one.
",How much is the blue shirt?,55 dollars,,,
"Are you looking for something in particular, ma'am?
Well, I like this red shirt, but 80 dollars is two steep.
Roughly, how much will you looking to spend?
Somewhere around 50 dollars.
Then, how about this blue one for 55 dollars?
I really like the style, but I prefer the color of the other one.
",What is the budget?,Somewhere around 50 dollars,,,
"Hi, James. Where were you all day?
I was at the library.
Again? You spend lots of time there.
Well, it's a great place to get away from it all.
I guess. I'm not really the solitary type though.
Yes, it's not for eveyone.
",How many hours was James at the library?,,,,답 없음
"Hi, James. Where were you all day?
I was at the library.
Again? You spend lots of time there.
Well, it's a great place to get away from it all.
I guess. I'm not really the solitary type though.
Yes, it's not for eveyone.
",Where was James all day?,at the library,,,
"Hi, James. Where were you all day?
I was at the library.
Again? You spend lots of time there.
Well, it's a great place to get away from it all.
I guess. I'm not really the solitary type though.
Yes, it's not for eveyone.
",Why does James find the library a good place?,it's a great place to get away from it all.,,,
"Hi, James. Where were you all day?
I was at the library.
Again? You spend lots of time there.
Well, it's a great place to get away from it all.
I guess. I'm not really the solitary type though.
Yes, it's not for eveyone.
",What did the speakers agree upon?,I'm not really the solitary type,,,
"Hi, James. Where were you all day?
I was at the library.
Again? You spend lots of time there.
Well, it's a great place to get away from it all.
I guess. I'm not really the solitary type though.
Yes, it's not for eveyone.
",Who is the solitary type?,not for eveyone,,,
"I'm freaking out! I have three major work deadlines on the horizon.
Relax! You've always delivered in the past.
But the workload is crazy this time, even by my usual standards.
Well, don't push yourself too hard. Remember what happened before.
I know. I can't afford time off to recover again.
Just stay focused. You were appointed to this position at the company for a reason.
",How many works is the man dealing with now?,three major work deadlines,,,
"I'm freaking out! I have three major work deadlines on the horizon.
Relax! You've always delivered in the past.
But the workload is crazy this time, even by my usual standards.
Well, don't push yourself too hard. Remember what happened before.
I know. I can't afford time off to recover again.
Just stay focused. You were appointed to this position at the company for a reason.
",When will the next meeting be held?,,,,답 없음
"I'm freaking out! I have three major work deadlines on the horizon.
Relax! You've always delivered in the past.
But the workload is crazy this time, even by my usual standards.
Well, don't push yourself too hard. Remember what happened before.
I know. I can't afford time off to recover again.
Just stay focused. You were appointed to this position at the company for a reason.
",What recommendation did woman give to the man?,don't push yourself too hard,,,
"I'm freaking out! I have three major work deadlines on the horizon.
Relax! You've always delivered in the past.
But the workload is crazy this time, even by my usual standards.
Well, don't push yourself too hard. Remember what happened before.
I know. I can't afford time off to recover again.
Just stay focused. You were appointed to this position at the company for a reason.
",How is the workload?,the workload is crazy,,,
"I'm freaking out! I have three major work deadlines on the horizon.
Relax! You've always delivered in the past.
But the workload is crazy this time, even by my usual standards.
Well, don't push yourself too hard. Remember what happened before.
I know. I can't afford time off to recover again.
Just stay focused. You were appointed to this position at the company for a reason.
",Why is the man stressed?,the workload is crazy,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
